Date,hour_range,light_price_kwh
2023-06-15,00:00 - 01:00,0.1433 €/kWh
2023-06-15,01:00 - 02:00,0.13969 €/kWh
2023-06-15,02:00 - 03:00,0.13864 €/kWh
2023-06-15,03:00 - 04:00,0.13908 €/kWh
2023-06-15,04:00 - 05:00,0.13866 €/kWh
2023-06-15,05:00 - 06:00,0.13609 €/kWh
2023-06-15,06:00 - 07:00,0.14155 €/kWh
2023-06-15,07:00 - 08:00,0.14542 €/kWh
2023-06-15,08:00 - 09:00,0.16846 €/kWh
2023-06-15,09:00 - 10:00,0.16763 €/kWh
2023-06-15,10:00 - 11:00,0.21193 €/kWh
2023-06-15,11:00 - 12:00,0.20516 €/kWh
2023-06-15,12:00 - 13:00,0.1985 €/kWh
2023-06-15,13:00 - 14:00,0.19522 €/kWh
2023-06-15,14:00 - 15:00,0.14935 €/kWh
2023-06-15,15:00 - 16:00,0.15269 €/kWh
2023-06-15,16:00 - 17:00,0.15613 €/kWh
2023-06-15,17:00 - 18:00,0.15975 €/kWh
2023-06-15,18:00 - 19:00,0.20859 €/kWh
2023-06-15,19:00 - 20:00,0.21198 €/kWh
2023-06-15,20:00 - 21:00,0.21685 €/kWh
2023-06-15,21:00 - 22:00,0.25418 €/kWh
2023-06-15,22:00 - 23:00,0.21496 €/kWh
2023-06-15,23:00 - 24:00,0.18186 €/kWh
2023-06-14,00:00 - 01:00,0.13035 €/kWh
2023-06-14,01:00 - 02:00,0.12375 €/kWh
2023-06-14,02:00 - 03:00,0.12248 €/kWh
2023-06-14,03:00 - 04:00,0.12311 €/kWh
2023-06-14,04:00 - 05:00,0.12269 €/kWh
2023-06-14,05:00 - 06:00,0.12932 €/kWh
2023-06-14,06:00 - 07:00,0.13218 €/kWh
2023-06-14,07:00 - 08:00,0.13329 €/kWh
2023-06-14,08:00 - 09:00,0.14105 €/kWh
2023-06-14,09:00 - 10:00,0.1258 €/kWh
2023-06-14,10:00 - 11:00,0.16811 €/kWh
2023-06-14,11:00 - 12:00,0.15454 €/kWh
2023-06-14,12:00 - 13:00,0.16626 €/kWh
2023-06-14,13:00 - 14:00,0.16925 €/kWh
2023-06-14,14:00 - 15:00,0.12343 €/kWh
2023-06-14,15:00 - 16:00,0.12402 €/kWh
2023-06-14,16:00 - 17:00,0.12399 €/kWh
2023-06-14,17:00 - 18:00,0.1277 €/kWh
2023-06-14,18:00 - 19:00,0.18146 €/kWh
2023-06-14,19:00 - 20:00,0.20386 €/kWh
2023-06-14,20:00 - 21:00,0.20751 €/kWh
2023-06-14,21:00 - 22:00,0.22164 €/kWh
2023-06-14,22:00 - 23:00,0.17609 €/kWh
2023-06-14,23:00 - 24:00,0.16604 €/kWh
