Date,light_price_kwh,Year,Month,Day,Hour,Moonset,Moonrise,moon_hours,moon_illumination_percent,moon_distance,moon_phase,event_title,Sunrise,Sunset,Start_astronomical_twilight,End_astronomical_twilight,Start_nautical_twilight,End_nautical_twilight,Start_civil_twilight,End_civil_twilight,solar_noon_Time,sun_hours,civil_sun_hours,sun_hours_diff_in_minutes,condition,precip_percent,cloud_cover_percent,humidity_percent,temp_celsius,precip_mm,pressure_hPa,upper_light_price_mean,is_night,is_day,needs_artif_light,moon_phase_mult
2023-06-14,0.13035,2023,6,14,00:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.12375,2023,6,14,01:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.12248,2023,6,14,02:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.12311,2023,6,14,03:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.12269,2023,6,14,04:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.12932,2023,6,14,05:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,True,2
2023-06-14,0.13218,2023,6,14,06:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,False,2
2023-06-14,0.13329,2023,6,14,07:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,False,2
2023-06-14,0.14105,2023,6,14,08:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,False,2
2023-06-14,0.1258,2023,6,14,09:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,False,2
2023-06-14,0.16811,2023,6,14,10:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,True,False,False,False,2
2023-06-14,0.15454,2023,6,14,11:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,False,False,False,False,2
2023-06-14,0.16626,2023,6,14,12:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,,,,,,,,True,False,False,False,2
2023-06-14,0.16925,2023,6,14,13:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,mostly sunny,3.0,21.0,46.0,27.22,0.0,1017.27,True,False,False,False,2
2023-06-14,0.12343,2023,6,14,14:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,mostly sunny,1.0,23.0,47.0,27.22,0.0,1017.27,False,False,False,False,2
2023-06-14,0.12402,2023,6,14,15:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,sunny,0.0,17.0,48.0,27.22,0.0,1016.93,False,False,False,False,2
2023-06-14,0.12399,2023,6,14,16:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,mostly sunny,0.0,21.0,52.0,26.11,0.0,1016.93,False,False,False,False,2
2023-06-14,0.1277,2023,6,14,17:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,mostly sunny,2.0,24.0,53.0,26.11,0.0,1016.93,False,False,False,False,2
2023-06-14,0.18146,2023,6,14,18:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,sunny,3.0,16.0,54.0,25.56,0.0,1016.93,True,False,False,False,2
2023-06-14,0.20386,2023,6,14,19:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,sunny,1.0,9.0,57.0,25.0,0.0,1016.59,True,False,False,False,2
2023-06-14,0.20751,2023,6,14,20:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,sunny,1.0,6.0,60.0,24.44,0.0,1016.93,True,False,False,False,2
2023-06-14,0.22164,2023,6,14,21:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,sunny,2.0,5.0,65.0,22.78,0.0,1017.27,True,False,False,False,2
2023-06-14,0.17609,2023,6,14,22:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,clear,4.0,9.0,73.0,22.22,0.0,1017.95,True,False,False,True,2
2023-06-14,0.16604,2023,6,14,23:00:00,17:55:00,03:43:00,14.2,14.9,383.939,Third Quarter,,06:17:00,21:25:00,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,clear,5.0,9.0,76.0,21.11,0.0,1018.29,True,False,False,True,2
2023-06-15,0.1433,2023,6,15,00:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.13969,2023,6,15,01:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.13864,2023,6,15,02:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.13908,2023,6,15,03:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.13866,2023,6,15,04:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.13609,2023,6,15,05:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,True,2
2023-06-15,0.14155,2023,6,15,06:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,False,2
2023-06-15,0.14542,2023,6,15,07:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,False,False,False,False,2
2023-06-15,0.16846,2023,6,15,08:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,True,False,False,False,2
2023-06-15,0.16763,2023,6,15,09:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,True,False,False,False,2
2023-06-15,0.21193,2023,6,15,10:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,True,False,False,False,2
2023-06-15,0.20516,2023,6,15,11:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,True,False,False,False,2
2023-06-15,0.1985,2023,6,15,12:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,,,,,,,,True,False,False,False,2
2023-06-15,0.19522,2023,6,15,13:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,mostly sunny,3.0,21.0,46.0,27.22,0.0,1017.27,True,False,False,False,2
2023-06-15,0.14935,2023,6,15,14:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,mostly sunny,1.0,23.0,47.0,27.22,0.0,1017.27,False,False,False,False,2
2023-06-15,0.15269,2023,6,15,15:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,sunny,0.0,17.0,48.0,27.22,0.0,1016.93,False,False,False,False,2
2023-06-15,0.15613,2023,6,15,16:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,mostly sunny,0.0,21.0,52.0,26.11,0.0,1016.93,False,False,False,False,2
2023-06-15,0.15975,2023,6,15,17:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,mostly sunny,2.0,24.0,53.0,26.11,0.0,1016.93,False,False,False,False,2
2023-06-15,0.20859,2023,6,15,18:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,sunny,3.0,16.0,54.0,25.56,0.0,1016.93,True,False,False,False,2
2023-06-15,0.21198,2023,6,15,19:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,sunny,1.0,9.0,57.0,25.0,0.0,1016.59,True,False,False,False,2
2023-06-15,0.21685,2023,6,15,20:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,sunny,1.0,6.0,60.0,24.44,0.0,1016.93,True,False,False,False,2
2023-06-15,0.25418,2023,6,15,21:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,sunny,2.0,5.0,65.0,22.78,0.0,1017.27,True,False,False,False,2
2023-06-15,0.21496,2023,6,15,22:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,clear,4.0,9.0,73.0,22.22,0.0,1017.95,True,False,False,True,2
2023-06-15,0.18186,2023,6,15,23:00:00,19:04:00,04:10:00,14.9,8.0,387.565,Third Quarter,Tallers de coaching per al benestar emocial,06:17:00,21:26:00,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,clear,5.0,9.0,76.0,21.11,0.0,1018.29,True,False,False,True,2
