Hour,humidity_percent,condition,temp_celsius,precip_mm,pressure_hPa,Year,Month,Day
00:00:00,94.0,fair,22.78,0.0,1020.32,2023,6,24
00:30:00,94.0,fair,22.78,0.0,1020.32,2023,6,24
01:00:00,88.0,fair,22.78,0.0,1020.32,2023,6,24
01:30:00,88.0,fair,22.78,0.0,1020.32,2023,6,24
02:00:00,88.0,fair,22.78,0.0,1020.32,2023,6,24
02:30:00,94.0,mist,22.22,0.0,1019.3,2023,6,24
03:00:00,94.0,fair,22.22,0.0,1019.3,2023,6,24
03:30:00,88.0,fair,22.22,0.0,1019.3,2023,6,24
04:00:00,88.0,fair,22.22,0.0,1019.3,2023,6,24
04:30:00,88.0,fair,22.22,0.0,1018.29,2023,6,24
05:00:00,88.0,fair,22.22,0.0,1018.29,2023,6,24
05:30:00,88.0,fair,22.22,0.0,1018.29,2023,6,24
06:30:00,88.0,fair,22.78,0.0,1018.29,2023,6,24
07:00:00,88.0,partly cloudy,22.22,0.0,1018.29,2023,6,24
07:30:00,88.0,mostly cloudy,22.22,0.0,1018.29,2023,6,24
08:00:00,83.0,mostly cloudy,22.78,0.0,1018.29,2023,6,24
08:30:00,83.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
09:00:00,89.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
09:30:00,89.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
10:00:00,89.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
10:30:00,89.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
11:00:00,89.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
11:30:00,83.0,mostly cloudy,23.89,0.0,1018.29,2023,6,24
12:00:00,78.0,fair,26.11,0.0,1018.29,2023,6,24
12:30:00,78.0,fair,26.11,0.0,1018.29,2023,6,24
13:00:00,74.0,fair,25.0,0.0,1018.29,2023,6,24
13:30:00,69.0,fair,26.11,0.0,1017.27,2023,6,24
14:00:00,70.0,fair,27.22,0.0,1017.27,2023,6,24
14:30:00,74.0,fair,26.11,0.0,1017.27,2023,6,24
15:00:00,74.0,fair,27.22,0.0,1017.27,2023,6,24
15:30:00,70.0,fair,27.22,0.0,1017.27,2023,6,24
16:00:00,70.0,fair,27.22,0.0,1016.26,2023,6,24
