Moonset,Year,Month,Day,Moonrise,moon_hours,moon_illumination_percent,moon_distance,moon_phase,Sunrise,Sunset,Start_astronomical_twilight,End_astronomical_twilight,Start_nautical_twilight,End_nautical_twilight,Start_civil_twilight,End_civil_twilight,solar_noon_Time,sun_hours,civil_sun_hours,sun_hours_diff_in_minutes,Hour,condition,precip_percent,precip_inches,cloud_cover_percent,humidity_percent,pressure_inches,temp_celsius,precip_mm,pressure_hPa,Recommended_light_intensity,savings
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,12:00:00,Mostly Sunny,3.0,0.0,27.0,54.0,29.88,24.44,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,13:00:00,Partly Cloudy,5.0,0.0,30.0,52.0,29.88,25.56,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,14:00:00,Partly Cloudy,6.0,0.0,33.0,53.0,29.88,25.0,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,15:00:00,Partly Cloudy,5.0,0.0,49.0,54.0,29.88,25.56,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,16:00:00,Partly Cloudy,5.0,0.0,44.0,53.0,29.88,25.56,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,17:00:00,Partly Cloudy,22.0,0.0,43.0,54.0,29.88,25.56,0.0,1011.85,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,18:00:00,Partly Cloudy,19.0,0.0,35.0,56.0,29.89,25.0,0.0,1012.19,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,19:00:00,Partly Cloudy,5.0,0.0,35.0,59.0,29.9,24.44,0.0,1012.53,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,20:00:00,Mostly Sunny,2.0,0.0,26.0,64.0,29.92,23.33,0.0,1013.21,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,21:00:00,Partly Cloudy,3.0,0.0,30.0,70.0,29.94,22.22,0.0,1013.88,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,22:00:00,Partly Cloudy,5.0,0.0,39.0,76.0,29.97,21.67,0.0,1014.9,92.36056,
17:55,2023,6,14,03:43,14.2,14.9,383.939,Third Quarter,06:17,21:25,04:08,23:34,05:00,22:43,05:43,21:59,13:51,15.1436,16.2667,0.48,23:00:00,Partly Cloudy,14.0,0.0,49.0,79.0,29.99,21.11,0.0,1015.58,92.36056,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,00:00:00,Partly Cloudy,6.0,0.0,49.0,81.0,30.0,20.56,0.0,1015.92,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,01:00:00,Partly Cloudy,7.0,0.0,46.0,85.0,30.0,20.0,0.0,1015.92,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,02:00:00,Partly Cloudy,7.0,0.0,41.0,87.0,30.0,19.44,0.0,1015.92,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,03:00:00,Partly Cloudy,8.0,0.0,55.0,88.0,29.99,18.89,0.0,1015.58,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,04:00:00,Partly Cloudy,8.0,0.0,37.0,90.0,29.99,18.33,0.0,1015.58,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,05:00:00,Partly Cloudy,8.0,0.0,32.0,90.0,29.99,17.78,0.0,1015.58,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,06:00:00,Partly Cloudy,7.0,0.0,39.0,86.0,30.0,17.78,0.0,1015.92,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,07:00:00,Partly Cloudy,6.0,0.0,39.0,80.0,30.01,18.33,0.0,1016.26,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,08:00:00,Partly Cloudy,4.0,0.0,30.0,73.0,30.02,19.44,0.0,1016.59,94.56175999999999,
19:04,2023,6,15,04:10,14.9,8.0,387.565,Third Quarter,06:17,21:26,04:08,23:35,05:00,22:43,05:43,22:00,13:51,15.1506,16.2833,0.42,09:00:00,Mostly Sunny,2.0,0.0,27.0,63.0,30.03,22.22,0.0,1016.93,94.56175999999999,
