id,type,ebox_id,lat,lon,coordinates,zone
AA000000ADBA,light,BB0005190121,41.271436,1.711007,"{'lat': 41.271436, 'lon': 1.711007}",south_west
AA000000B2F7,light,BB0005190121,41.271296,1.710671,"{'lat': 41.271296, 'lon': 1.710671}",south_west
AA000000B303,light,AA0000011290,41.28462,1.723922,"{'lat': 41.28462, 'lon': 1.723922}",industrial
AA000000B31C,light,AA00000112CB,41.280256,1.744759,"{'lat': 41.280256, 'lon': 1.744759}",east
AA000000B31E,light,BB0005190121,41.271088,1.710281,"{'lat': 41.271088, 'lon': 1.710281}",south_west
AA000001483F,light,AA0000011290,41.284376,1.723861,"{'lat': 41.284376, 'lon': 1.723861}",industrial
AA0000014840,light,BB000519015E,41.27778,1.73816,"{'lat': 41.27778, 'lon': 1.73816}",field2
AA0000014841,light,BB000519015E,41.277752,1.738176,"{'lat': 41.277752, 'lon': 1.738176}",field2
AA0000014842,light,BB000519015E,41.277716,1.738164,"{'lat': 41.277716, 'lon': 1.738164}",field2
AA0000014847,light,BB000519015E,41.277712,1.738565,"{'lat': 41.277712, 'lon': 1.738565}",field2
AA000001485C,light,AA000000D44C,41.279956,1.724008,"{'lat': 41.279956, 'lon': 1.724008}",industrial
AA0000014881,light,BB000519015E,41.277652,1.738601,"{'lat': 41.277652, 'lon': 1.738601}",field2
AA000001488C,light,AA0000011277,41.280984,1.720873,"{'lat': 41.280984, 'lon': 1.720873}",center_south
AA00000161CF,light,BB0005190120,41.27248,1.709601,"{'lat': 41.27248, 'lon': 1.709601}",south_west
AA00000161D0,light,BB0005190120,41.275148,1.707025,"{'lat': 41.275148, 'lon': 1.707025}",south_west
AA00000161D1,light,BB0005190120,41.271108,1.708657,"{'lat': 41.271108, 'lon': 1.708657}",south_west
AA00000161D4,light,BB0005190120,41.27218,1.707459,"{'lat': 41.27218, 'lon': 1.707459}",south_west
AA00000161D8,light,BB0005190120,41.271892,1.707472,"{'lat': 41.271892, 'lon': 1.707472}",south_west
AA0000016269,light,BB0005190120,41.271284,1.707457,"{'lat': 41.271284, 'lon': 1.707457}",south_west
AA000001626A,light,BB0005190120,41.272072,1.709424,"{'lat': 41.272072, 'lon': 1.709424}",south_west
AA000001626B,light,BB0005190120,41.273028,1.709875,"{'lat': 41.273028, 'lon': 1.709875}",south_west
AA000001629C,light,BB0005190120,41.27148,1.708963,"{'lat': 41.27148, 'lon': 1.708963}",south_west
AA0000016C67,light,BB0005190120,41.272224,1.709442,"{'lat': 41.272224, 'lon': 1.709442}",south_west
AA0000016CED,light,BB0005190120,41.271232,1.708758,"{'lat': 41.271232, 'lon': 1.708758}",south_west
AA0000016CF8,light,BB000519011F,41.277612,1.702885,"{'lat': 41.277612, 'lon': 1.702885}",south_west
AA0000016D4C,light,BB0005190120,41.271796,1.709195,"{'lat': 41.271796, 'lon': 1.709195}",south_west
AA0000016F19,light,BB0005190122,41.272348,1.7032,"{'lat': 41.272348, 'lon': 1.7032}",south_west
AA0000016F53,light,BB0005190120,41.273112,1.711936,"{'lat': 41.273112, 'lon': 1.711936}",south_west
AA0000016FC3,light,BB0005190122,41.273748,1.697236,"{'lat': 41.273748, 'lon': 1.697236}",south_west
AA000001709E,light,BB0005190120,41.273268,1.710045,"{'lat': 41.273268, 'lon': 1.710045}",south_west
AA00000170B6,light,BB0005190120,41.2727,1.709714,"{'lat': 41.2727, 'lon': 1.709714}",south_west
AA0000017255,light,BB0005190120,41.273356,1.710258,"{'lat': 41.273356, 'lon': 1.710258}",south_west
AA000001726C,light,AA000001128F,41.28698,1.722956,"{'lat': 41.28698, 'lon': 1.722956}",center
AA0000017288,light,BB0005190120,41.27108,1.708317,"{'lat': 41.27108, 'lon': 1.708317}",south_west
AA000001728F,light,AA000001128F,41.28716,1.722331,"{'lat': 41.28716, 'lon': 1.722331}",center
AA00000172B4,light,BB0005190120,41.2734,1.710545,"{'lat': 41.2734, 'lon': 1.710545}",south_west
AA00000172B5,light,BB000519011F,41.275512,1.703153,"{'lat': 41.275512, 'lon': 1.703153}",south_west
AA0000017327,light,BB0005190120,41.27336,1.710975,"{'lat': 41.27336, 'lon': 1.710975}",south_west
AA000001734C,light,BB0005190120,41.27332,1.711231,"{'lat': 41.27332, 'lon': 1.711231}",south_west
AA0000017555,light,AA0000011277,41.281152,1.721619,"{'lat': 41.281152, 'lon': 1.721619}",center_south
AA0000017763,light,BB0005190147,41.289784,1.724382,"{'lat': 41.289784, 'lon': 1.724382}",center_north
AA00000177FB,light,BB0005190122,41.272428,1.70291,"{'lat': 41.272428, 'lon': 1.70291}",south_west
AA00000181A3,light,AA00000112CB,41.283132,1.74705,"{'lat': 41.283132, 'lon': 1.74705}",east
AA00000184A2,light,BB0005190120,41.270592,1.708146,"{'lat': 41.270592, 'lon': 1.708146}",south_west
AA00000184A3,light,BB0005190120,41.270512,1.707883,"{'lat': 41.270512, 'lon': 1.707883}",south_west
AA00000184A5,light,BB0005190120,41.270364,1.707471,"{'lat': 41.270364, 'lon': 1.707471}",south_west
AA00000184A6,light,BB0005190120,41.27024,1.706911,"{'lat': 41.27024, 'lon': 1.706911}",south_west
AA00000184A7,light,BB0005190120,41.273796,1.706281,"{'lat': 41.273796, 'lon': 1.706281}",south_west
AA00000184B6,light,BB0005190122,41.269364,1.699056,"{'lat': 41.269364, 'lon': 1.699056}",south_west
AA00000184B7,light,BB0005190122,41.271272,1.703125,"{'lat': 41.271272, 'lon': 1.703125}",south_west
AA00000184B8,light,BB0005190122,41.271492,1.703299,"{'lat': 41.271492, 'lon': 1.703299}",south_west
AA00000184B9,light,BB0005190122,41.271816,1.703432,"{'lat': 41.271816, 'lon': 1.703432}",south_west
AA00000184D8,light,BB0005190121,41.26782,1.705327,"{'lat': 41.26782, 'lon': 1.705327}",south_west
AA00000184D9,light,BB0005190122,41.272096,1.699207,"{'lat': 41.272096, 'lon': 1.699207}",south_west
AA00000184DA,light,BB0005190121,41.268024,1.706305,"{'lat': 41.268024, 'lon': 1.706305}",south_west
AA00000184DB,light,BB0005190121,41.26798,1.706027,"{'lat': 41.26798, 'lon': 1.706027}",south_west
AA00000184DC,light,BB0005190121,41.267928,1.705813,"{'lat': 41.267928, 'lon': 1.705813}",south_west
AA00000184DD,light,BB0005190121,41.267876,1.705534,"{'lat': 41.267876, 'lon': 1.705534}",south_west
AA00000184DE,light,BB0005190122,41.272136,1.699475,"{'lat': 41.272136, 'lon': 1.699475}",south_west
AA00000184DF,light,BB0005190122,41.272176,1.699822,"{'lat': 41.272176, 'lon': 1.699822}",south_west
AA00000184E0,light,BB0005190122,41.272164,1.700033,"{'lat': 41.272164, 'lon': 1.700033}",south_west
AA00000184E1,light,BB0005190122,41.271992,1.700302,"{'lat': 41.271992, 'lon': 1.700302}",south_west
AA00000184E2,light,BB0005190122,41.271836,1.700471,"{'lat': 41.271836, 'lon': 1.700471}",south_west
AA00000184E3,light,BB0005190122,41.271624,1.700696,"{'lat': 41.271624, 'lon': 1.700696}",south_west
AA00000184E4,light,BB0005190121,41.272448,1.712911,"{'lat': 41.272448, 'lon': 1.712911}",south_west
AA00000184E5,light,BB0005190121,41.272732,1.713012,"{'lat': 41.272732, 'lon': 1.713012}",south_west
AA00000184E6,light,BB0005190121,41.273048,1.713082,"{'lat': 41.273048, 'lon': 1.713082}",south_west
AA00000184E7,light,BB0005190121,41.27332,1.713126,"{'lat': 41.27332, 'lon': 1.713126}",south_west
AA00000184E8,light,BB0005190121,41.273592,1.713174,"{'lat': 41.273592, 'lon': 1.713174}",south_west
AA00000184E9,light,BB0005190121,41.273768,1.713165,"{'lat': 41.273768, 'lon': 1.713165}",south_west
AA00000184EA,light,BB0005190121,41.268296,1.708622,"{'lat': 41.268296, 'lon': 1.708622}",south_west
AA00000184EB,light,BB0005190121,41.26824,1.70826,"{'lat': 41.26824, 'lon': 1.70826}",south_west
AA00000184EC,light,BB0005190121,41.268188,1.707913,"{'lat': 41.268188, 'lon': 1.707913}",south_west
AA00000184ED,light,BB0005190121,41.268136,1.707592,"{'lat': 41.268136, 'lon': 1.707592}",south_west
AA00000184EE,light,BB0005190121,41.268088,1.707189,"{'lat': 41.268088, 'lon': 1.707189}",south_west
AA00000184EF,light,BB0005190121,41.26804,1.706727,"{'lat': 41.26804, 'lon': 1.706727}",south_west
AA00000184F0,light,BB0005190121,41.272336,1.711927,"{'lat': 41.272336, 'lon': 1.711927}",south_west
AA00000184F1,light,BB0005190121,41.272392,1.711614,"{'lat': 41.272392, 'lon': 1.711614}",south_west
AA00000184F2,light,BB0005190121,41.272484,1.711124,"{'lat': 41.272484, 'lon': 1.711124}",south_west
AA00000184F3,light,BB0005190121,41.272484,1.710712,"{'lat': 41.272484, 'lon': 1.710712}",south_west
AA00000184F4,light,BB0005190121,41.272356,1.71053,"{'lat': 41.272356, 'lon': 1.71053}",south_west
AA00000184F5,light,BB0005190121,41.27222,1.710279,"{'lat': 41.27222, 'lon': 1.710279}",south_west
AA00000184F6,light,BB0005190122,41.271408,1.701,"{'lat': 41.271408, 'lon': 1.701}",south_west
AA00000184F7,light,BB0005190122,41.271324,1.70146,"{'lat': 41.271324, 'lon': 1.70146}",south_west
AA00000184F8,light,BB0005190122,41.271288,1.701806,"{'lat': 41.271288, 'lon': 1.701806}",south_west
AA00000184F9,light,BB0005190122,41.271184,1.702045,"{'lat': 41.271184, 'lon': 1.702045}",south_west
AA00000184FB,light,BB0005190122,41.271208,1.703385,"{'lat': 41.271208, 'lon': 1.703385}",south_west
AA00000184FC,light,BB0005190122,41.271408,1.703774,"{'lat': 41.271408, 'lon': 1.703774}",south_west
AA00000184FD,light,BB0005190122,41.27148,1.704034,"{'lat': 41.27148, 'lon': 1.704034}",south_west
AA00000184FE,light,BB0005190122,41.271624,1.704248,"{'lat': 41.271624, 'lon': 1.704248}",south_west
AA0000018501,light,BB0005190122,41.27182,1.704329,"{'lat': 41.27182, 'lon': 1.704329}",south_west
AA0000018502,light,BB0005190122,41.27112,1.70227,"{'lat': 41.27112, 'lon': 1.70227}",south_west
AA0000018503,light,BB0005190122,41.271088,1.702552,"{'lat': 41.271088, 'lon': 1.702552}",south_west
AA0000018504,light,BB0005190122,41.271936,1.704358,"{'lat': 41.271936, 'lon': 1.704358}",south_west
AA0000018505,light,BB0005190122,41.27206,1.704298,"{'lat': 41.27206, 'lon': 1.704298}",south_west
AA0000018506,light,BB0005190122,41.272132,1.704096,"{'lat': 41.272132, 'lon': 1.704096}",south_west
