id,type,ebox_id,lat,lon
AA000000D44C,box,AA000000D44C,41.27956,1.723848
AA0000011276,box,AA0000011276,41.269428,1.735974
AA0000011277,box,AA0000011277,41.28122,1.722233
AA000001128F,box,AA000001128F,41.286492,1.722709
AA0000011290,box,AA0000011290,41.284524,1.72392
AA00000112BE,box,AA00000112BE,41.297368,1.715569
AA00000112CB,box,AA00000112CB,41.281716,1.748006
AA00000112CD,box,AA00000112CD,41.268536,1.727852
AA000001167D,box,AA000001167D,41.275768,1.729918
AA0000011681,box,AA0000011681,41.274736,1.726149
AA000001169B,box,AA000001169B,41.285284,1.720466
BB00051900F8,box,BB00051900F8,41.285004,1.721989
BB000519011F,box,,41.277144,1.707297
BB0005190120,box,,41.273932,1.706414
BB0005190121,box,,41.269428,1.708888
BB0005190122,box,,41.272112,1.699136
BB0005190123,box,,41.268692,1.703085
BB0005190147,box,BB0005190147,41.289712,1.72438
BB0005190148,box,BB0005190148,41.284112,1.718958
BB000519015E,box,,41.277828,1.738166
BB0005190176,box,,41.294064,1.702732
BB0005190180,box,,41.275128,1.707979
BB0200000003,box,BB0200000003,41.281872,1.724317
BB0200000007,box,BB0200000007,41.28434,1.724591
BB0200000008,box,BB0200000008,41.285232,1.723371
BB020000000A,box,BB020000000A,41.289068,1.718107
BB020000000D,box,BB020000000D,41.297668,1.712951
BB020000000F,box,BB020000000F,41.275856,1.727533
BB020000001C,box,BB020000001C,41.283256,1.746696
AA000000ADBA,light,BB0005190121,41.271436,1.711007
AA000000B2F7,light,BB0005190121,41.271296,1.710671
AA000000B303,light,AA0000011290,41.28462,1.723922
AA000000B31C,light,AA00000112CB,41.280256,1.744759
AA000000B31E,light,BB0005190121,41.271088,1.710281
AA000001483F,light,AA0000011290,41.284376,1.723861
AA0000014840,light,BB000519015E,41.27778,1.73816
AA0000014841,light,BB000519015E,41.277752,1.738176
AA0000014842,light,BB000519015E,41.277716,1.738164
AA0000014847,light,BB000519015E,41.277712,1.738565
AA000001485C,light,AA000000D44C,41.279956,1.724008
AA0000014881,light,BB000519015E,41.277652,1.738601
AA000001488C,light,AA0000011277,41.280984,1.720873
AA00000161CF,light,BB0005190120,41.27248,1.709601
AA00000161D0,light,BB0005190120,41.275148,1.707025
AA00000161D1,light,BB0005190120,41.271108,1.708657
AA00000161D4,light,BB0005190120,41.27218,1.707459
AA00000161D8,light,BB0005190120,41.271892,1.707472
AA0000016269,light,BB0005190120,41.271284,1.707457
AA000001626A,light,BB0005190120,41.272072,1.709424
AA000001626B,light,BB0005190120,41.273028,1.709875
AA000001629C,light,BB0005190120,41.27148,1.708963
AA0000016C67,light,BB0005190120,41.272224,1.709442
AA0000016CED,light,BB0005190120,41.271232,1.708758
AA0000016CF8,light,BB000519011F,41.277612,1.702885
AA0000016D4C,light,BB0005190120,41.271796,1.709195
AA0000016F19,light,BB0005190122,41.272348,1.7032
AA0000016F53,light,BB0005190120,41.273112,1.711936
AA0000016FC3,light,BB0005190122,41.273748,1.697236
AA000001709E,light,BB0005190120,41.273268,1.710045
AA00000170B6,light,BB0005190120,41.2727,1.709714
AA0000017255,light,BB0005190120,41.273356,1.710258
AA000001726C,light,AA000001128F,41.28698,1.722956
AA0000017288,light,BB0005190120,41.27108,1.708317
AA000001728F,light,AA000001128F,41.28716,1.722331
AA00000172B4,light,BB0005190120,41.2734,1.710545
AA00000172B5,light,BB000519011F,41.275512,1.703153
AA0000017327,light,BB0005190120,41.27336,1.710975
AA000001734C,light,BB0005190120,41.27332,1.711231
AA0000017555,light,AA0000011277,41.281152,1.721619
AA0000017763,light,BB0005190147,41.289784,1.724382
AA00000177FB,light,BB0005190122,41.272428,1.70291
AA00000181A3,light,AA00000112CB,41.283132,1.74705
AA00000184A2,light,BB0005190120,41.270592,1.708146
AA00000184A3,light,BB0005190120,41.270512,1.707883
AA00000184A5,light,BB0005190120,41.270364,1.707471
AA00000184A6,light,BB0005190120,41.27024,1.706911
AA00000184A7,light,BB0005190120,41.273796,1.706281
AA00000184B6,light,BB0005190122,41.269364,1.699056
AA00000184B7,light,BB0005190122,41.271272,1.703125
AA00000184B8,light,BB0005190122,41.271492,1.703299
AA00000184B9,light,BB0005190122,41.271816,1.703432
AA00000184D8,light,BB0005190121,41.26782,1.705327
AA00000184D9,light,BB0005190122,41.272096,1.699207
AA00000184DA,light,BB0005190121,41.268024,1.706305
AA00000184DB,light,BB0005190121,41.26798,1.706027
AA00000184DC,light,BB0005190121,41.267928,1.705813
AA00000184DD,light,BB0005190121,41.267876,1.705534
AA00000184DE,light,BB0005190122,41.272136,1.699475
AA00000184DF,light,BB0005190122,41.272176,1.699822
AA00000184E0,light,BB0005190122,41.272164,1.700033
AA00000184E1,light,BB0005190122,41.271992,1.700302
AA00000184E2,light,BB0005190122,41.271836,1.700471
AA00000184E3,light,BB0005190122,41.271624,1.700696
AA00000184E4,light,BB0005190121,41.272448,1.712911
AA00000184E5,light,BB0005190121,41.272732,1.713012
AA00000184E6,light,BB0005190121,41.273048,1.713082
AA00000184E7,light,BB0005190121,41.27332,1.713126
AA00000184E8,light,BB0005190121,41.273592,1.713174
AA00000184E9,light,BB0005190121,41.273768,1.713165
AA00000184EA,light,BB0005190121,41.268296,1.708622
AA00000184EB,light,BB0005190121,41.26824,1.70826
AA00000184EC,light,BB0005190121,41.268188,1.707913
AA00000184ED,light,BB0005190121,41.268136,1.707592
AA00000184EE,light,BB0005190121,41.268088,1.707189
AA00000184EF,light,BB0005190121,41.26804,1.706727
AA00000184F0,light,BB0005190121,41.272336,1.711927
AA00000184F1,light,BB0005190121,41.272392,1.711614
AA00000184F2,light,BB0005190121,41.272484,1.711124
AA00000184F3,light,BB0005190121,41.272484,1.710712
AA00000184F4,light,BB0005190121,41.272356,1.71053
AA00000184F5,light,BB0005190121,41.27222,1.710279
AA00000184F6,light,BB0005190122,41.271408,1.701
AA00000184F7,light,BB0005190122,41.271324,1.70146
AA00000184F8,light,BB0005190122,41.271288,1.701806
AA00000184F9,light,BB0005190122,41.271184,1.702045
AA00000184FB,light,BB0005190122,41.271208,1.703385
AA00000184FC,light,BB0005190122,41.271408,1.703774
AA00000184FD,light,BB0005190122,41.27148,1.704034
AA00000184FE,light,BB0005190122,41.271624,1.704248
AA0000018501,light,BB0005190122,41.27182,1.704329
AA0000018502,light,BB0005190122,41.27112,1.70227
AA0000018503,light,BB0005190122,41.271088,1.702552
AA0000018504,light,BB0005190122,41.271936,1.704358
AA0000018505,light,BB0005190122,41.27206,1.704298
AA0000018506,light,BB0005190122,41.272132,1.704096
AA0000018507,light,BB0005190122,41.272316,1.703949
AA0000018508,light,BB0005190122,41.272628,1.703901
AA0000018509,light,BB0005190122,41.272776,1.703759
AA000001853E,light,BB0005190122,41.2729,1.703571
AA000001853F,light,BB0005190122,41.272952,1.703161
AA0000018540,light,BB0005190122,41.272048,1.699633
AA0000018541,light,BB0005190122,41.271752,1.699324
AA0000018542,light,BB0005190122,41.271628,1.699023
AA0000018543,light,BB0005190122,41.271624,1.698613
AA0000018684,light,AA0000011681,41.275472,1.727913
AA0000018685,light,AA0000011681,41.275376,1.728171
AA0000018686,light,AA0000011681,41.275324,1.728234
AA0000018687,light,AA0000011681,41.275216,1.728305
AA0000018688,light,AA0000011681,41.275136,1.728384
AA0000018689,light,AA0000011681,41.275068,1.728455
AA000001868A,light,BB0005190123,41.26958,1.699778
AA000001868B,light,BB0005190123,41.26858,1.701787
AA000001868C,light,BB0005190123,41.268712,1.701676
AA000001868D,light,BB0005190123,41.268952,1.70142
AA000001868E,light,BB0005190123,41.269172,1.70119
AA000001868F,light,BB0005190123,41.269448,1.70093
AA0000018690,light,BB0005190123,41.268544,1.702029
AA0000018691,light,BB0005190123,41.268436,1.701733
AA0000018692,light,BB0005190123,41.268312,1.701378
AA0000018693,light,BB0005190123,41.268236,1.701087
AA0000018694,light,BB0005190123,41.268364,1.700997
AA0000018695,light,BB0005190123,41.268504,1.700841
AA0000018696,light,AA000000D44C,41.279664,1.72393
AA0000018697,light,AA000000D44C,41.280468,1.724101
AA0000018698,light,AA000000D44C,41.280232,1.724034
AA0000018699,light,AA000000D44C,41.280208,1.724075
AA000001869A,light,AA0000011681,41.276564,1.72742
AA000001869B,light,AA0000011681,41.276508,1.72746
AA000001869C,light,AA0000011681,41.27644,1.727466
AA000001869D,light,AA0000011681,41.27638,1.727457
AA000001869E,light,AA0000011681,41.275588,1.727776
AA000001869F,light,AA0000011681,41.276108,1.727655
AA00000186A0,light,AA0000011681,41.276912,1.727156
AA00000186A1,light,AA0000011681,41.276856,1.727192
AA00000186A2,light,AA0000011681,41.276808,1.727208
AA00000186A3,light,AA0000011681,41.27674,1.727207
AA00000186A4,light,AA0000011681,41.276664,1.727225
AA00000186A5,light,AA0000011681,41.276608,1.727325
AA00000186A6,light,AA0000011681,41.276296,1.727461
AA00000186A8,light,AA0000011681,41.276192,1.727551
AA00000186A9,light,AA0000011681,41.276152,1.7276
AA00000186AA,light,AA0000011681,41.275908,1.727714
AA00000186AB,light,AA0000011681,41.275848,1.727753
AA00000186AC,light,AA0000011681,41.275784,1.727802
AA00000186AD,light,AA0000011681,41.275652,1.727704
AA00000186AE,light,AA0000011681,41.276048,1.727685
AA00000186AF,light,AA0000011681,41.27552,1.727857
AA00000186B0,light,BB0005190123,41.268744,1.700619
AA00000186B1,light,BB0005190123,41.269016,1.70033
AA00000186B2,light,BB0005190123,41.269248,1.700153
AA00000186B3,light,BB0005190123,41.269456,1.699904
AA00000186B4,light,AA000001169B,41.282456,1.718072
AA00000186B5,light,AA000001169B,41.282352,1.718403
AA00000186B6,light,AA000001169B,41.282536,1.718426
AA00000186B7,light,AA000001169B,41.282564,1.718428
