Date,hour_range,light_price_kwh
2023-06-26,00:00 - 01:00,0.13243 €/kWh
2023-06-26,01:00 - 02:00,0.13128 €/kWh
2023-06-26,02:00 - 03:00,0.12186 €/kWh
2023-06-26,03:00 - 04:00,0.1215 €/kWh
2023-06-26,04:00 - 05:00,0.12333 €/kWh
2023-06-26,05:00 - 06:00,0.12273 €/kWh
2023-06-26,06:00 - 07:00,0.12568 €/kWh
2023-06-26,07:00 - 08:00,0.14789 €/kWh
2023-06-26,08:00 - 09:00,0.17346 €/kWh
2023-06-26,09:00 - 10:00,0.16232 €/kWh
2023-06-26,10:00 - 11:00,0.19267 €/kWh
2023-06-26,11:00 - 12:00,0.18587 €/kWh
2023-06-26,12:00 - 13:00,0.18518 €/kWh
2023-06-26,13:00 - 14:00,0.1787 €/kWh
2023-06-26,14:00 - 15:00,0.1279 €/kWh
2023-06-26,15:00 - 16:00,0.12713 €/kWh
2023-06-26,16:00 - 17:00,0.12749 €/kWh
2023-06-26,17:00 - 18:00,0.14463 €/kWh
2023-06-26,18:00 - 19:00,0.20463 €/kWh
2023-06-26,19:00 - 20:00,0.21827 €/kWh
2023-06-26,20:00 - 21:00,0.22398 €/kWh
2023-06-26,21:00 - 22:00,0.23507 €/kWh
2023-06-26,22:00 - 23:00,0.19415 €/kWh
2023-06-26,23:00 - 24:00,0.18275 €/kWh
2023-06-27,00:00 - 01:00,0.15121 €/kWh
2023-06-27,01:00 - 02:00,0.13279 €/kWh
2023-06-27,02:00 - 03:00,0.13036 €/kWh
2023-06-27,03:00 - 04:00,0.12836 €/kWh
2023-06-27,04:00 - 05:00,0.12537 €/kWh
2023-06-27,05:00 - 06:00,0.12905 €/kWh
2023-06-27,06:00 - 07:00,0.14602 €/kWh
2023-06-27,07:00 - 08:00,0.15196 €/kWh
2023-06-27,08:00 - 09:00,0.17566 €/kWh
2023-06-27,09:00 - 10:00,0.15095 €/kWh
2023-06-27,10:00 - 11:00,0.19511 €/kWh
2023-06-27,11:00 - 12:00,0.19253 €/kWh
2023-06-27,12:00 - 13:00,0.18856 €/kWh
2023-06-27,13:00 - 14:00,0.18864 €/kWh
2023-06-27,14:00 - 15:00,0.14247 €/kWh
2023-06-27,15:00 - 16:00,0.14116 €/kWh
2023-06-27,16:00 - 17:00,0.14923 €/kWh
2023-06-27,17:00 - 18:00,0.15683 €/kWh
2023-06-27,18:00 - 19:00,0.21496 €/kWh
2023-06-27,19:00 - 20:00,0.22451 €/kWh
2023-06-27,20:00 - 21:00,0.22994 €/kWh
2023-06-27,21:00 - 22:00,0.23598 €/kWh
2023-06-27,22:00 - 23:00,0.18844 €/kWh
2023-06-27,23:00 - 24:00,0.17901 €/kWh
