New Moon,First Quarter,Full Moon,Third Quarter,Duration,Year
,,7 Jan,15 Jan,29d 10h 36m,2023
21 Jan,28 Jan,5 Feb,13 Feb,29d 10h 13m,2023
20 Feb,27 Feb,7 Mar,15 Mar,29d 10h 17m,2023
21 Mar,29 Mar,6 Apr,13 Apr,29d 10h 49m,2023
20 Apr,27 Apr,5 May,12 May,29d 11h 41m,2023
19 May,27 May,4 Jun,10 Jun,29d 12h 44m,2023
18 Jun,26 Jun,3 Jul,10 Jul,29d 13h 55m,2023
17 Jul,26 Jul,1 Aug,8 Aug,29d 15h 06m,2023
16 Aug,24 Aug,31 Aug,7 Sep,29d 16h 02m,2023
15 Sep,22 Sep,29 Sep,6 Oct,29d 16h 15m,2023
14 Oct,22 Oct,28 Oct,5 Nov,29d 15h 32m,2023
13 Nov,20 Nov,27 Nov,5 Dec,29d 14h 05m,2023
13 Dec,19 Dec,27 Dec,,29d 12h 25m,2023
