Sunrise,Sunset,Length,Diff.,Start_astronomical_twilight,End_astronomical_twilight,Start_nautical_twilight,End_nautical_twilight,Start_civil_twilight,End_civil_twilight,solar_noon_Time,Year,Month,Day
08:02,18:07,10:04:27,+2:14,06:28,19:42,07:00,19:09,07:33,18:36,13:04,2022,2,1
08:01,18:08,10:06:44,+2:16,06:27,19:43,06:59,19:10,07:32,18:37,13:04,2022,2,2
08:00,18:09,10:09:02,+2:17,06:26,19:44,06:58,19:11,07:31,18:38,13:05,2022,2,3
07:59,18:11,10:11:21,+2:19,06:25,19:45,06:57,19:13,07:30,18:40,13:05,2022,2,4
07:58,18:12,10:13:42,+2:21,06:24,19:46,06:56,19:14,07:29,18:41,13:05,2022,2,5
07:57,18:13,10:16:05,+2:22,06:23,19:47,06:55,19:15,07:28,18:42,13:05,2022,2,6
07:56,18:14,10:18:29,+2:24,06:22,19:48,06:54,19:16,07:27,18:43,13:05,2022,2,7
07:55,18:16,10:20:55,+2:25,06:21,19:49,06:53,19:17,07:26,18:44,13:05,2022,2,8
07:54,18:17,10:23:22,+2:26,06:20,19:51,06:52,19:18,07:25,18:46,13:05,2022,2,9
07:52,18:18,10:25:50,+2:28,06:19,19:52,06:51,19:19,07:24,18:47,13:05,2022,2,10
07:51,18:19,10:28:19,+2:29,06:18,19:53,06:50,19:21,07:23,18:48,13:05,2022,2,11
07:50,18:21,10:30:50,+2:30,06:17,19:54,06:49,19:22,07:21,18:49,13:05,2022,2,12
07:49,18:22,10:33:22,+2:31,06:16,19:55,06:48,19:23,07:20,18:50,13:05,2022,2,13
07:47,18:23,10:35:54,+2:32,06:14,19:56,06:46,19:24,07:19,18:52,13:05,2022,2,14
07:46,18:24,10:38:28,+2:33,06:13,19:57,06:45,19:25,07:18,18:53,13:05,2022,2,15
07:45,18:26,10:41:03,+2:34,06:12,19:58,06:44,19:26,07:16,18:54,13:05,2022,2,16
07:43,18:27,10:43:38,+2:35,06:11,20:00,06:43,19:27,07:15,18:55,13:05,2022,2,17
07:42,18:28,10:46:15,+2:36,06:09,20:01,06:41,19:29,07:14,18:56,13:05,2022,2,18
07:40,18:29,10:48:52,+2:37,06:08,20:02,06:40,19:30,07:12,18:57,13:05,2022,2,19
07:39,18:31,10:51:30,+2:38,06:07,20:03,06:39,19:31,07:11,18:59,13:04,2022,2,20
07:38,18:32,10:54:09,+2:38,06:05,20:04,06:37,19:32,07:10,19:00,13:04,2022,2,21
07:36,18:33,10:56:48,+2:39,06:04,20:05,06:36,19:33,07:08,19:01,13:04,2022,2,22
07:35,18:34,10:59:29,+2:40,06:03,20:06,06:35,19:34,07:07,19:02,13:04,2022,2,23
07:33,18:35,11:02:10,+2:40,06:01,20:07,06:33,19:35,07:05,19:03,13:04,2022,2,24
07:32,18:37,11:04:51,+2:41,06:00,20:09,06:32,19:37,07:04,19:04,13:04,2022,2,25
07:30,18:38,11:07:33,+2:42,05:58,20:10,06:30,19:38,07:02,19:06,13:04,2022,2,26
07:29,18:39,11:10:16,+2:42,05:57,20:11,06:29,19:39,07:01,19:07,13:03,2022,2,27
07:27,18:40,11:12:59,+2:43,05:55,20:12,06:27,19:40,06:59,19:08,13:03,2022,2,28
08:17,17:32,9:15:02,+0:42,06:37,19:11,07:11,18:38,07:46,18:03,12:54,2022,1,1
08:17,17:33,9:15:48,+0:46,06:38,19:12,07:11,18:39,07:46,18:04,12:55,2022,1,2
08:17,17:34,9:16:39,+0:50,06:38,19:13,07:11,18:39,07:46,18:05,12:55,2022,1,3
08:17,17:35,9:17:33,+0:54,06:38,19:14,07:11,18:40,07:46,18:06,12:56,2022,1,4
08:17,17:36,9:18:31,+0:57,06:38,19:15,07:11,18:41,07:46,18:07,12:56,2022,1,5
08:17,17:36,9:19:32,+1:01,06:38,19:16,07:11,18:42,07:46,18:07,12:57,2022,1,6
08:17,17:37,9:20:38,+1:05,06:38,19:16,07:11,18:43,07:46,18:08,12:57,2022,1,7
08:17,17:38,9:21:47,+1:09,06:38,19:17,07:11,18:44,07:46,18:09,12:57,2022,1,8
08:17,17:40,9:23:00,+1:12,06:38,19:18,07:11,18:45,07:46,18:10,12:58,2022,1,9
08:16,17:41,9:24:16,+1:16,06:38,19:19,07:11,18:46,07:46,18:11,12:58,2022,1,10
08:16,17:42,9:25:35,+1:19,06:38,19:20,07:11,18:47,07:45,18:12,12:59,2022,1,11
08:16,17:43,9:26:58,+1:22,06:38,19:21,07:11,18:48,07:45,18:13,12:59,2022,1,12
08:15,17:44,9:28:24,+1:26,06:37,19:22,07:11,18:49,07:45,18:14,12:59,2022,1,13
08:15,17:45,9:29:54,+1:29,06:37,19:23,07:10,18:50,07:44,18:15,13:00,2022,1,14
08:15,17:46,9:31:26,+1:32,06:37,19:24,07:10,18:51,07:44,18:17,13:00,2022,1,15
08:14,17:47,9:33:02,+1:35,06:37,19:25,07:10,18:52,07:44,18:18,13:01,2022,1,16
08:14,17:48,9:34:41,+1:38,06:36,19:26,07:09,18:53,07:43,18:19,13:01,2022,1,17
08:13,17:50,9:36:22,+1:41,06:36,19:27,07:09,18:54,07:43,18:20,13:01,2022,1,18
08:13,17:51,9:38:07,+1:44,06:36,19:28,07:09,18:55,07:42,18:21,13:01,2022,1,19
08:12,17:52,9:39:54,+1:47,06:35,19:29,07:08,18:56,07:42,18:22,13:02,2022,1,20
08:11,17:53,9:41:44,+1:49,06:35,19:30,07:08,18:57,07:41,18:23,13:02,2022,1,21
08:11,17:54,9:43:36,+1:52,06:34,19:31,07:07,18:58,07:41,18:24,13:02,2022,1,22
08:10,17:56,9:45:31,+1:54,06:34,19:32,07:06,18:59,07:40,18:25,13:03,2022,1,23
08:09,17:57,9:47:28,+1:57,06:33,19:33,07:06,19:00,07:39,18:27,13:03,2022,1,24
08:09,17:58,9:49:28,+1:59,06:33,19:34,07:05,19:01,07:39,18:28,13:03,2022,1,25
08:08,17:59,9:51:30,+2:02,06:32,19:35,07:05,19:02,07:38,18:29,13:03,2022,1,26
08:07,18:01,9:53:35,+2:04,06:31,19:36,07:04,19:04,07:37,18:30,13:03,2022,1,27
08:06,18:02,9:55:41,+2:06,06:31,19:37,07:03,19:05,07:37,18:31,13:04,2022,1,28
08:05,18:03,9:57:50,+2:08,06:30,19:38,07:02,19:06,07:36,18:33,13:04,2022,1,29
08:04,18:04,10:00:00,+2:10,06:29,19:39,07:02,19:07,07:35,18:34,13:04,2022,1,30
08:03,18:06,10:02:13,+2:12,06:28,19:41,07:01,19:08,07:34,18:35,13:04,2022,1,31
