Year,Month,Day,Hour,events_locations,events_titles,events_descriptions,events_zones,events_lats,events_lons
2023,6,26,19:00:00,"['Plaça del casal de Canyelles', 'Plaça del casal de Canyelles']","['303 ON The Beach', 'Paint and Party 14 Julio']","[nan, nan]","['center', 'center']","[41.285159447102856, 41.28713224852074]","[1.722669984574967, 1.722669984574967]"
2023,6,26,20:00:00,"['Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Plaça del casal de Canyelles']","['The Friday Language Exchange', '303 ON The Beach', 'Concerts in Park Güell: Musical Paths of Freedom. Barcelona, 1974-1986', 'Language Exchange every Friday at Estación de Francia', 'Paint and Party 14 Julio']","[nan, nan, nan, nan, nan]","['center', 'center', 'center', 'center', 'center']","[41.285159447102856, 41.285159447102856, 41.28713224852074, 41.285159447102856, 41.28713224852074]","[1.722669984574967, 1.722669984574967, 1.722669984574967, 1.7217341064298708, 1.722669984574967]"
2023,6,26,21:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Plaça del casal de Canyelles']","['Concierto de Dean Lewis en Sala Apolo - 14 de julio 2023', 'The Friday Language Exchange', '303 ON The Beach', 'Concerts in Park Güell: Musical Paths of Freedom. Barcelona, 1974-1986', 'SOUS LE CIEL DE PARIS', 'Language Exchange every Friday at Estación de Francia', 'Paint and Party 14 Julio']","[nan, nan, nan, nan, nan, nan, nan]","['center', 'center', 'center', 'center', 'center', 'center', 'center']","[41.28713224852074, 41.285159447102856, 41.285159447102856, 41.28713224852074, 41.285159447102856, 41.285159447102856, 41.28713224852074]","[1.7217341064298708, 1.722669984574967, 1.722669984574967, 1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.722669984574967]"
2023,6,26,22:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Plaça del casal de Canyelles']","['Concierto de Dean Lewis en Sala Apolo - 14 de julio 2023', 'The Friday Language Exchange', '303 ON The Beach', 'SOUS LE CIEL DE PARIS', 'Language Exchange every Friday at Estación de Francia', 'Paint and Party 14 Julio']","[nan, nan, nan, nan, nan, nan]","['center', 'center', 'center', 'center', 'center', 'center']","[41.28713224852074, 41.285159447102856, 41.285159447102856, 41.285159447102856, 41.285159447102856, 41.28713224852074]","[1.7217341064298708, 1.722669984574967, 1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.722669984574967]"
2023,6,26,23:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles']","['Concierto de Dean Lewis en Sala Apolo - 14 de julio 2023', 'The Friday Language Exchange', '303 ON The Beach', 'Friday Free parties - Friends List Barcelona', 'SOUS LE CIEL DE PARIS', 'Language Exchange every Friday at Estación de Francia']","[nan, nan, nan, nan, nan, nan]","['center', 'center', 'center', 'center', 'center', 'center']","[41.28713224852074, 41.285159447102856, 41.285159447102856, 41.285159447102856, 41.285159447102856, 41.285159447102856]","[1.7217341064298708, 1.722669984574967, 1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.7217341064298708]"
2023,6,27,00:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles']","['Concierto de Dean Lewis en Sala Apolo - 14 de julio 2023', '303 ON The Beach', 'Friday Free parties - Friends List Barcelona']","[nan, nan, nan]","['center', 'center', 'center']","[41.28713224852074, 41.285159447102856, 41.285159447102856]","[1.7217341064298708, 1.722669984574967, 1.7217341064298708]"
2023,6,27,01:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles']","['Concierto de Dean Lewis en Sala Apolo - 14 de julio 2023', '303 ON The Beach', 'Friday Free parties - Friends List Barcelona']","[nan, nan, nan]","['center', 'center', 'center']","[41.28713224852074, 41.285159447102856, 41.285159447102856]","[1.7217341064298708, 1.722669984574967, 1.7217341064298708]"
2023,6,27,02:00:00,"['Plaça del casal de Canyelles', 'Castell de Canyelles']","['303 ON The Beach', 'Friday Free parties - Friends List Barcelona']","[nan, nan]","['center', 'center']","[41.285159447102856, 41.285159447102856]","[1.722669984574967, 1.7217341064298708]"
2023,6,27,03:00:00,"['Plaça del casal de Canyelles', 'Castell de Canyelles']","['303 ON The Beach', 'Friday Free parties - Friends List Barcelona']","[nan, nan]","['center', 'center']","[41.285159447102856, 41.285159447102856]","[1.722669984574967, 1.7217341064298708]"
2023,6,27,04:00:00,['Castell de Canyelles'],['Friday Free parties - Friends List Barcelona'],[nan],['center'],[41.285159447102856],[1.7217341064298708]
2023,6,27,05:00:00,['Castell de Canyelles'],['Friday Free parties - Friends List Barcelona'],[nan],['center'],[41.285159447102856],[1.7217341064298708]
