Year,Month,Day,Hour,events_locations,events_titles,events_descriptions,events_zones,events_lats,events_lons
2023,6,26,19:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles']","['Comedy one mic night', 'Barcelona Entrepreneurs and Startups Weekly Meetup']","[nan, nan]","['industrial', 'industrial']","[41.28713224852074, 41.28713224852074]","[1.724039265956549, 1.724039265956549]"
2023,6,26,20:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles']","['Comedy one mic night', 'Barcelona Entrepreneurs and Startups Weekly Meetup']","[nan, nan]","['industrial', 'industrial']","[41.28713224852074, 41.28713224852074]","[1.724039265956549, 1.724039265956549]"
2023,6,26,21:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles']","['Comedy one mic night', 'Barcelona Entrepreneurs and Startups Weekly Meetup', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)', 'Mecal Air Barcelona 2023']","[nan, nan, nan, nan]","['industrial', 'industrial', 'industrial', 'industrial']","[41.28713224852074, 41.28713224852074, 41.28713224852074, 41.28713224852074]","[1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,22:00:00,"['Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles']","['Barcelona Entrepreneurs and Startups Weekly Meetup', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)', 'Mecal Air Barcelona 2023']","[nan, nan, nan]","['industrial', 'industrial', 'industrial']","[41.28713224852074, 41.28713224852074, 41.28713224852074]","[1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,23:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Plaça del casal de Canyelles']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)', 'Mecal Air Barcelona 2023', 'La Gozadera Bcn + Dj Peruchin']","[nan, nan, nan, nan, nan]","['industrial', 'industrial', 'industrial', 'industrial', 'industrial']","[41.285159447102856, 41.285159447102856, 41.28713224852074, 41.28713224852074, 41.285159447102856]","[1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,00:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)', 'La Gozadera Bcn + Dj Peruchin']","[nan, nan, nan, nan]","['industrial', 'industrial', 'industrial', 'industrial']","[41.285159447102856, 41.285159447102856, 41.28713224852074, 41.285159447102856]","[1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,01:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)', 'La Gozadera Bcn + Dj Peruchin']","[nan, nan, nan, nan]","['industrial', 'industrial', 'industrial', 'industrial']","[41.285159447102856, 41.285159447102856, 41.28713224852074, 41.285159447102856]","[1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,02:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)']","[nan, nan, nan]","['industrial', 'industrial', 'industrial']","[41.285159447102856, 41.285159447102856, 41.28713224852074]","[1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,03:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso', 'LANGUAGE EXCHANGE & INTERNATIONAL PARTY@Friday Night(Latin party night)']","[nan, nan, nan]","['industrial', 'industrial', 'industrial']","[41.285159447102856, 41.285159447102856, 41.28713224852074]","[1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,04:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso']","[nan, nan]","['industrial', 'industrial']","[41.285159447102856, 41.285159447102856]","[1.724039265956549, 1.724039265956549]"
2023,6,27,05:00:00,"['Castell de Canyelles', 'Plaça del casal de Canyelles']","['D-KONNECT pres. LUCIID', 'Glamour Freaks presents FUTURE BOX: 100to + Sonia Mini + Juli de Alonso']","[nan, nan]","['industrial', 'industrial']","[41.285159447102856, 41.285159447102856]","[1.724039265956549, 1.724039265956549]"
