Hour,condition,precip_percent,cloud_cover_percent,humidity_percent,temp_celsius,precip_mm,pressure_hPa,Year,Month,Day
10:00:00,partly cloudy,2.0,47.0,80.0,20.0,0.0,1020.32,2023,9,28
11:00:00,partly cloudy,1.0,49.0,74.0,22.78,0.0,1020.32,2023,9,28
12:00:00,partly cloudy,1.0,38.0,67.0,23.89,0.0,1020.32,2023,9,28
13:00:00,mostly sunny,1.0,27.0,64.0,25.56,0.0,1019.64,2023,9,28
14:00:00,partly cloudy,0.0,30.0,63.0,25.56,0.0,1019.3,2023,9,28
15:00:00,partly cloudy,0.0,37.0,61.0,25.56,0.0,1018.96,2023,9,28
16:00:00,partly cloudy,0.0,32.0,61.0,25.56,0.0,1018.63,2023,9,28
17:00:00,partly cloudy,0.0,38.0,63.0,25.0,0.0,1018.29,2023,9,28
18:00:00,partly cloudy,2.0,37.0,66.0,24.44,0.0,1018.29,2023,9,28
19:00:00,sunny,5.0,16.0,71.0,23.33,0.0,1018.29,2023,9,28
20:00:00,clear,7.0,10.0,78.0,22.22,0.0,1018.96,2023,9,28
21:00:00,clear,11.0,6.0,84.0,21.67,0.0,1019.3,2023,9,28
22:00:00,clear,12.0,3.0,87.0,21.11,0.0,1019.98,2023,9,28
23:00:00,clear,12.0,3.0,90.0,20.0,0.0,1020.32,2023,9,28
00:00:00,clear,12.0,2.0,90.0,19.44,0.0,1020.32,2023,9,29
01:00:00,clear,12.0,1.0,91.0,18.89,0.0,1020.32,2023,9,29
02:00:00,clear,12.0,6.0,90.0,18.33,0.0,1020.32,2023,9,29
03:00:00,clear,12.0,9.0,89.0,18.33,0.0,1020.32,2023,9,29
04:00:00,clear,12.0,4.0,89.0,17.78,0.0,1020.32,2023,9,29
05:00:00,clear,11.0,4.0,88.0,17.78,0.0,1020.32,2023,9,29
06:00:00,clear,11.0,2.0,85.0,17.22,0.0,1020.32,2023,9,29
07:00:00,clear,9.0,1.0,83.0,16.67,0.0,1020.66,2023,9,29
08:00:00,sunny,9.0,2.0,83.0,16.67,0.0,1021.33,2023,9,29
09:00:00,sunny,5.0,1.0,72.0,18.89,0.0,1022.01,2023,9,29
10:00:00,sunny,2.0,0.0,63.0,21.67,0.0,1022.35,2023,9,29
11:00:00,sunny,0.0,0.0,59.0,23.89,0.0,1022.69,2023,9,29
12:00:00,sunny,0.0,0.0,55.0,25.56,0.0,1022.69,2023,9,29
13:00:00,sunny,0.0,0.0,56.0,26.67,0.0,1022.35,2023,9,29
14:00:00,sunny,0.0,0.0,59.0,26.67,0.0,1022.35,2023,9,29
15:00:00,sunny,0.0,0.0,59.0,26.67,0.0,1022.01,2023,9,29
16:00:00,sunny,0.0,0.0,58.0,26.67,0.0,1022.01,2023,9,29
17:00:00,sunny,0.0,0.0,59.0,26.11,0.0,1021.67,2023,9,29
18:00:00,sunny,0.0,0.0,60.0,26.11,0.0,1021.67,2023,9,29
19:00:00,sunny,2.0,0.0,65.0,25.0,0.0,1022.01,2023,9,29
20:00:00,clear,7.0,0.0,74.0,23.33,0.0,1022.35,2023,9,29
21:00:00,clear,9.0,0.0,78.0,22.22,0.0,1022.69,2023,9,29
22:00:00,clear,9.0,1.0,81.0,21.67,0.0,1023.03,2023,9,29
23:00:00,clear,11.0,3.0,82.0,20.56,0.0,1023.37,2023,9,29
