,Title,Schedule,Location,Description
0,B48_Live,18:30-22:30,Plaça del casal,
0,LA JUERGA,23:45-06:00,Castell de Canyelles,
0,42TECHNO,23:59-06:00,Plaça del casal,
0,Digital Beauty Summit 2023,09:00-13:30,Urbanització California,
0,Lildami,00:00-23:59,Urbanització California,
0,Evening Meeting Barceloneta @ 18:45,06:45-19:45,Urbanització California,
0,Free Tickets - Funky Vibes Rooftop Party,18:30-21:30,Urbanització California,
0,Romantic Barcelona: Outdoor Escape Game for Couples,14:00-15:30,Plaça del casal,
0,Yoga by the Sea Barcelona,07:00-08:30,Jardins el hotelito,
0,HAPPY HOUR + FREE FOOD & SHOTS + SALSA-BACHATA,19:00-01:30,Castell de Canyelles,
0,BCN Co-Productions | Participa en actividades y proyectos colaborativos,18:30-20:30,Plaça del casal,
0,ROOFTOP AFTERWORK GRAN HOTEL HAVANA,19:00-22:00,Castell de Canyelles,
0,SUGAR POOL PARTY | from 5:30pm,17:30-23:00,Urbanització California,
0,City Hall Thursday pres. ALQVIMIA Colab. TooLong Milano,21:55-03:15,Castell de Canyelles,
0,Every Tuesday and Thursday Party@Pacha Barcelona,23:30-05:00,Plaça del casal,
0,Improv Comedy Show at Typical Adult Behavior,20:00-22:00,Urbanització California,
0,Esenciales de laboral 2023,07:30-11:45,Castell de Canyelles,
0,Fracashow,21:00-00:30,Plaça del casal,
0,"The Original Three Countries in One Day: France, Andorra, Spain from Barcelona",07:00-19:00,Plaça del casal,
0,Beer pong + hamburguesa + fiesta,20:00-22:00,Jardins el hotelito,
0,Imprfcto Comedy Show,21:00-23:00,Plaça del casal,
0,Sol Sonidos Sunset Boat Party,19:30-21:30,Jardins el hotelito,
0,☀️Sunrise Yoga&Meditation,07:00-08:00,Jardins el hotelito,"🌅This is a unique way to start your day . Moving your body, breathing deeply that fresh sea air with the gentle sun light . And afterwards maybe having even a quick swim that can be better then..."
0,Vinyasa yoga en Sant Antoni (Plaza España),19:30-20:45,Castell de Canyelles,
0,Barcelona Outdoor Escape Game: Historical bars & restaurants,11:00-13:30,Castell de Canyelles,
0,AGRETHA FRANKLIN,21:00-23:00,Plaça del casal,
0,Global Travel Demand Overview — HotelRepresentatives,23:00-21:00,Plaça del casal,
0,RBL presents: ONA and FUNK A FEIRA,23:00-03:00,Urbanització California,
0,BOOTCAMP,19:00-20:00,Plaça del casal,
