New Moon,First Quarter,Full Moon,Third Quarter,Duration,Year
2 Jan,9 Jan,18 Jan,25 Jan,29d 11h 12m,2022
1 Feb,8 Feb,16 Feb,23 Feb,29d 11h 49m,2022
2 Mar,10 Mar,18 Mar,25 Mar,29d 12h 50m,2022
1 Apr,9 Apr,16 Apr,23 Apr,29d 14h 04m,2022
30 Apr,9 May,16 May,22 May,29d 15h 02m,2022
30 May,7 Jun,14 Jun,21 Jun,29d 15h 22m,2022
29 Jun,7 Jul,13 Jul,20 Jul,29d 15h 03m,2022
28 Jul,5 Aug,12 Aug,19 Aug,29d 14h 22m,2022
27 Aug,3 Sep,10 Sep,17 Sep,29d 13h 37m,2022
25 Sep,3 Oct,9 Oct,17 Oct,29d 12h 54m,2022
25 Oct,1 Nov,8 Nov,16 Nov,29d 12h 09m,2022
23 Nov,30 Nov,8 Dec,16 Dec,29d 11h 20m,2022
23 Dec,30 Dec,,,29d 10h 36m,2022
,,7 Jan,15 Jan,29d 10h 36m,2023
21 Jan,28 Jan,5 Feb,13 Feb,29d 10h 13m,2023
20 Feb,27 Feb,7 Mar,15 Mar,29d 10h 17m,2023
21 Mar,29 Mar,6 Apr,13 Apr,29d 10h 49m,2023
20 Apr,27 Apr,5 May,12 May,29d 11h 41m,2023
19 May,27 May,4 Jun,10 Jun,29d 12h 44m,2023
18 Jun,26 Jun,3 Jul,10 Jul,29d 13h 55m,2023
17 Jul,26 Jul,1 Aug,8 Aug,29d 15h 06m,2023
16 Aug,24 Aug,31 Aug,7 Sep,29d 16h 02m,2023
15 Sep,22 Sep,29 Sep,6 Oct,29d 16h 15m,2023
14 Oct,22 Oct,28 Oct,5 Nov,29d 15h 32m,2023
13 Nov,20 Nov,27 Nov,5 Dec,29d 14h 05m,2023
13 Dec,19 Dec,27 Dec,,29d 12h 25m,2023
