,Date,Hour,temp_farenheit,dew_point_farenheit,humidity_percent,wind,wind_vel,wind_gust,pressure_inches,precip_inches,condition
0,2023-09-28,12:00 AM,72ʡF,66ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
1,2023-09-28,12:30 AM,70ʡF,66ʡF,88ʡ%,WSW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2,2023-09-28,1:00 AM,70ʡF,66ʡF,88ʡ%,WSW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
3,2023-09-28,1:30 AM,70ʡF,66ʡF,88ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
4,2023-09-28,2:00 AM,70ʡF,64ʡF,83ʡ%,NNW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
5,2023-09-28,2:30 AM,70ʡF,64ʡF,83ʡ%,NW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
6,2023-09-28,3:00 AM,68ʡF,64ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
7,2023-09-28,3:30 AM,68ʡF,64ʡF,88ʡ%,NW,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
8,2023-09-28,4:00 AM,68ʡF,64ʡF,88ʡ%,NNW,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
9,2023-09-28,4:30 AM,68ʡF,64ʡF,88ʡ%,WNW,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
10,2023-09-28,5:00 AM,68ʡF,64ʡF,88ʡ%,NW,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
11,2023-09-28,5:30 AM,68ʡF,64ʡF,88ʡ%,NW,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
12,2023-09-28,6:00 AM,66ʡF,64ʡF,94ʡ%,NW,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
13,2023-09-28,6:30 AM,66ʡF,64ʡF,94ʡ%,NNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
14,2023-09-28,7:00 AM,66ʡF,63ʡF,88ʡ%,NW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
15,2023-09-28,7:30 AM,66ʡF,63ʡF,88ʡ%,NW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
16,2023-09-28,8:00 AM,66ʡF,61ʡF,83ʡ%,NW,7ʡmph,18ʡmph,30.07ʡin,0.0ʡin,Fair
17,2023-09-28,8:30 AM,66ʡF,61ʡF,83ʡ%,VAR,8ʡmph,21ʡmph,30.07ʡin,0.0ʡin,Fair
18,2023-09-28,9:00 AM,68ʡF,63ʡF,83ʡ%,NW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
19,2023-09-27,12:00 AM,68ʡF,61ʡF,78ʡ%,NNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
20,2023-09-27,12:30 AM,66ʡF,59ʡF,78ʡ%,NNW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
21,2023-09-27,1:00 AM,66ʡF,57ʡF,73ʡ%,NNW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
22,2023-09-27,1:30 AM,66ʡF,57ʡF,73ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
23,2023-09-27,2:00 AM,64ʡF,59ʡF,83ʡ%,NW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
24,2023-09-27,2:30 AM,64ʡF,57ʡF,77ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
25,2023-09-27,3:00 AM,66ʡF,57ʡF,73ʡ%,NW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
26,2023-09-27,3:30 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
27,2023-09-27,4:00 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
28,2023-09-27,4:30 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
29,2023-09-27,5:00 AM,64ʡF,59ʡF,83ʡ%,NW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
30,2023-09-27,5:30 AM,64ʡF,57ʡF,77ʡ%,NW,13ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
31,2023-09-27,6:00 AM,64ʡF,57ʡF,77ʡ%,NW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
32,2023-09-27,6:30 AM,64ʡF,57ʡF,77ʡ%,NW,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
33,2023-09-27,7:00 AM,64ʡF,57ʡF,77ʡ%,WNW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
34,2023-09-27,7:30 AM,64ʡF,57ʡF,77ʡ%,NW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
35,2023-09-27,8:00 AM,63ʡF,57ʡF,82ʡ%,NNW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
36,2023-09-27,8:30 AM,64ʡF,57ʡF,77ʡ%,NNW,9ʡmph,21ʡmph,30.10ʡin,0.0ʡin,Fair
37,2023-09-27,9:00 AM,64ʡF,57ʡF,77ʡ%,NW,9ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
38,2023-09-27,9:30 AM,66ʡF,57ʡF,73ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
39,2023-09-27,10:00 AM,70ʡF,57ʡF,64ʡ%,WNW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
40,2023-09-27,10:30 AM,72ʡF,59ʡF,64ʡ%,WNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
41,2023-09-27,11:00 AM,73ʡF,63ʡF,69ʡ%,WSW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
42,2023-09-27,11:30 AM,75ʡF,64ʡF,69ʡ%,SW,12ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
43,2023-09-27,12:00 PM,75ʡF,66ʡF,73ʡ%,SW,12ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
44,2023-09-27,12:30 PM,75ʡF,66ʡF,73ʡ%,SW,13ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
45,2023-09-27,1:00 PM,75ʡF,66ʡF,73ʡ%,SW,15ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
46,2023-09-27,1:30 PM,75ʡF,66ʡF,73ʡ%,SW,17ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
47,2023-09-27,2:00 PM,77ʡF,66ʡF,69ʡ%,SW,18ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
48,2023-09-27,2:30 PM,77ʡF,66ʡF,69ʡ%,SW,18ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
49,2023-09-27,3:00 PM,75ʡF,66ʡF,73ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
50,2023-09-27,3:30 PM,77ʡF,66ʡF,69ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
51,2023-09-27,4:00 PM,77ʡF,68ʡF,74ʡ%,SW,21ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair / Windy
52,2023-09-27,4:30 PM,77ʡF,66ʡF,69ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
53,2023-09-27,5:00 PM,75ʡF,68ʡF,78ʡ%,SW,18ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
54,2023-09-27,5:30 PM,75ʡF,68ʡF,78ʡ%,SW,17ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
55,2023-09-27,6:00 PM,77ʡF,68ʡF,74ʡ%,SW,17ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
56,2023-09-27,6:30 PM,75ʡF,68ʡF,78ʡ%,WSW,16ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
57,2023-09-27,7:00 PM,73ʡF,68ʡF,83ʡ%,SW,15ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
58,2023-09-27,7:30 PM,73ʡF,66ʡF,78ʡ%,SW,15ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
59,2023-09-27,8:00 PM,73ʡF,66ʡF,78ʡ%,SW,14ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
60,2023-09-27,8:30 PM,73ʡF,68ʡF,83ʡ%,WSW,13ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
